name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Akkodis,IT Services,Le Mans,https://www.akkodis.com,,,,1000+,ESN & ingénierie R&D,2026-09-24
Artelia (Unité Digitale),IT Services,Le Mans,https://www.arteliagroup.com,,,,1000+,Ingénierie & solutions numériques,2026-09-24
Atos,IT Services,Le Mans,https://atos.net,,,,1000+,ESN & services numériques,2026-09-24
Caisse Régionale du Crédit Agricole Anjou Maine (Siège Le Mans),Fintech / Insurtech,Le Mans,https://www.credit-agricole.fr/ca-anjoumaine/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,IT Services,Le Mans,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
CGI France,IT Services,Le Mans,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
CH Le Mans (DSI),Healthtech,Le Mans,https://www.ch-lemans.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Claass,Software,Le Mans,https://www.claass.fr,,,,1-10,Éditeur SaaS & web sur-mesure,2026-09-24
Claas Tractor,Industry,Le Mans,https://www.claas.fr,,,,1000+,Agtech & SI industriel,2026-09-24
Covea (MMA / GMF / MAAF),Fintech / Insurtech,Le Mans,https://www.covea.com,,,,1000+,DSI groupe & assurance,2026-09-24
Econocom,IT Services,Le Mans,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
GIE Informatique MMA,Fintech / Insurtech,Le Mans,https://www.mma.fr,,,,1000+,GIE informatique & assurtech,2026-09-24
Guerbet,Healthtech,Sablé-sur-Sarthe,https://www.guerbet.com,,,,1000+,Imagerie médicale & SI de santé,2026-09-24
Itron France,Industry,La Ferté-Bernard,https://www.itron.com,,,,51-1000,IoT & compteurs intelligents,2026-09-24
Koesio Ouest (Agence Le Mans),IT Services,Le Mans,https://koesio.com,,,,51-1000,ESN & services informatiques,2026-09-24
LDC (Groupe - DSI),Industry,Sablé-sur-Sarthe,https://www.ldc.fr,,,,1000+,DSI groupe agroalimentaire,2026-09-24
Le Mans Métropole (DSI),Public Sector,Le Mans,https://www.lemans.fr,,,,1000+,Équipe informatique locale,2026-09-24
Le Mans Université (LIUM / DSI),Deeptech,Le Mans,https://lium.univ-lemans.fr,,,,1000+,Laboratoire informatique (IA & EdTech),2026-09-24
MGI Coutier / Akwel,Industry,Champagné,https://akwel-automotive.com,,,,1000+,Équipe SI industrielle locale,2026-09-24
Open,IT Services,Le Mans,https://www.open.global,,,,1000+,ESN & services du numérique,2026-09-24
Orange (Direction Régionale Sarthe),Telecom,Le Mans,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
Outscale (Dassault Systèmes),Software,Le Mans,https://www.outscale.com,,,,51-1000,Infrastructures cloud souverain,2026-09-24
Sarthe Département (DSI),Public Sector,Le Mans,https://www.sarthe.fr,,,,1000+,Équipe informatique locale,2026-09-24
Sodexo Pass France (Centre IT),Software,Le Mans,https://www.sodexo.fr,,,,1000+,Systèmes de paiement & Titres,2026-09-24
Sogetrel Sarthe,Telecom,Le Mans,https://www.sogetrel.fr,,,,1000+,Infrastructures réseaux & télécoms,2026-09-24
Sopra Steria,IT Services,Le Mans,https://www.soprasteria.com,,,,1000+,ESN & conseil du numérique,2026-09-24
Soundao / SoundToMind,Software,Le Mans,https://www.soundao.com,,,,1-10,Deeptech audio & SaaS musical,2026-09-24
STMicroelectronics,Deeptech,Le Mans,https://www.st.com,,,,1000+,Semi-conducteurs & logiciels embarqués,2026-09-24
VibraTec,Industry,La Ferté-Bernard,https://www.vibratec.fr,,,,51-1000,Ingénierie & analyse de données vibratoires,2026-09-24
Xefi Le Mans,IT Services,Le Mans,https://www.xefi.fr,,,,11-50,Services informatiques & cloud,2026-09-24
